,Stage Name,Full Name,Korean Name,K. Stage Name,Date of Birth,Group,Country,Height,Weight,Birthplace,Gender,Instagram,Birth,age,birth year
45,LE,Ahn Hyejin,안효진,엘리,12/10/1991,EXID,South Korea,168,0,Cheonan,F,x_xellybabyx,1991-12-10,31,1991
46,Hani,Ahn Hee-yeon,안희연,하니,5/1/1992,EXID,South Korea,168,0,Seoul,F,ahnhani_92,1992-05-01,30,1992
47,Hyerin,Seo Hyerin,서혜린,혜린,8/23/1993,EXID,South Korea,165,0,Gwangju,F,hyeliniseo,1993-08-23,29,1993
48,Junghwa,Park Junghwa,박정화,정화,5/8/1995,EXID,South Korea,169,0,Anyang,F,jeonghwa_0508,1995-05-08,27,1995
49,Hyeyeon,Kang Hyeyeon,강혜연,혜연,12/8/1990,BESTie,South Korea,0,0,,F,hyeyeon_2,1990-12-08,32,1990
50,Uji,Jang Yuji,정유지,유지,1/2/1991,,South Korea,0,0,,F,yudi_didi,1991-01-02,31,1991
51,Dahye,Song Dahye,송다혜,다혜,6/12/1993,,South Korea,0,0,,F,dahye0612,1993-06-12,29,1993
52,Haeryeong,Na Haeryeong,나해령,해령,11/11/1994,BESTie,South Korea,0,0,,F,bestie_hr,1994-11-11,28,1994
53,Yubin,Kim Yubin,김유빈,유빈,10/4/1988,Wonder Girls,South Korea,163,0,Gwangju,F,,1988-10-04,34,1988
54,Yenny,Park Yeeun,박예은,예은,5/26/1989,Wonder Girls,South Korea,165,0,Goyang,F,hatfelt,1989-05-26,33,1989
55,Sunmi,Lee Sunmi,이선미,선미,5/2/1992,Wonder Girls,South Korea,167,0,Iksan,F,miyayeah,1992-05-02,30,1992
56,Hyerim,Woo Hyerim,우혜림,혜림,9/1/1992,Wonder Girls,South Korea,167,0,Seoul,F,wg_lim,1992-09-01,30,1992
57,Fei,Wang FeiFei,왕페이페이,페이,4/27/1987,miss A,China,165,0,Haikou,F,ff0427,1987-04-27,35,1987
58,Jia,Meng Jia,멍지아,지아,2/3/1989,miss A,China,166,0,Changja,F,mjbaby0203,1989-02-03,33,1989
59,Min,Lee Minyoung,이민영,민,6/21/1991,miss A,South Korea,161,0,Seoul,F,therealminnn,1991-06-21,31,1991
60,Suzy,Bae Suji,배수지,수지,10/10/1994,miss A,South Korea,168,0,Gwangju,F,skuukzky,1994-10-10,28,1994
61,Jamie,Park Jimin,박지민,박지민,7/5/1997,15&,South Korea,160,0,Junggu,F,jiminxjamie,1997-07-05,25,1997
62,Yerin,Baek Yerin,백예린,백예린,6/26/1997,15&,South Korea,165,0,Daejeon,F,yerinb,1997-06-26,25,1997
63,Jihyo,Park Jisoo,박지수,지효,2/1/1997,Twice,South Korea,162,0,Guri,F,,1997-02-01,25,1997
64,Nayeon,Im Nayeon,임나연,나연,9/22/1995,Twice,South Korea,163,0,Seoul,F,,1995-09-22,27,1995
65,Jeongyeon,Yoo Jeongyeon,유정연,정연,11/1/1996,Twice,South Korea,168,0,Suwon,F,,1996-11-01,26,1996
66,Momo,Hirai Momo,히라이 모모,모모,11/9/1996,Twice,Japan,167,0,Kyoto,F,,1996-11-09,26,1996
67,Sana,Minatozaki Sana,미나토자키 사나,사나,12/29/1996,Twice,Japan,168,0,Osaka,F,,1996-12-29,26,1996
68,Mina,Myoui Mina,묘이 미나,미나,3/24/1997,Twice,Japan,163,0,San Antonio,F,,1997-03-24,25,1997
69,Dahyun,Kim Dahyun,김다현,다현,5/28/1998,Twice,South Korea,165,0,Seongnam,F,,1998-05-28,24,1998
70,Chaeyoung,Son Chaeyoung,손채영,채영,4/23/1999,Twice,South Korea,159,0,Seoul,F,,1999-04-23,23,1999
71,Tzuyu,Chou Tzuyu,저우쯔위,쯔위,6/14/1999,Twice,Taiwan,169,0,Tainan,F,,1999-06-14,23,1999
72,Seunghee,Oh Seunghee,오승희,승희,10/10/1995,CLC,South Korea,163,0,Gwangju,F,,1995-10-10,27,1995
73,Yujin,Choi Yujin,최유진,유진,8/12/1996,Kep1er,South Korea,164,0,Jeonju,F,,1996-08-12,26,1996
74,Seungyeon,Jang Seunyeon,장승연,승연,11/6/1996,CLC,South Korea,163,0,Seongnam,F,,1996-11-06,26,1996
75,Sorn,Chonnasorn Sajakul,촌나손 사짜꾼,손,11/18/1996,CLC,Thailand,164,0,Bangkok,F,,1996-11-18,26,1996
76,YeeEun,Jang Yeeun,장예은,예은,8/10/1998,CLC,South Korea,166,0,Dongducheon,F,,1998-08-10,24,1998
77,Hyuna,Moon Hyuna,문현아,현아,1/19/1987,,South Korea,172,50,Yeosu,F,moongom119,1987-01-19,35,1987
78,Euaerin,Lee Hyemin,이혜민,이유애린,5/3/1988,,South Korea,174,48,Seoul,F,,1988-05-03,34,1988
79,Sungah,Son Sungah,손성아,성아,7/8/1989,9Muses,South Korea,172,48,Suma,F,ssungahhbaby,1989-07-08,33,1989
80,Kyungri,Park Kyungri,박경리,경리,7/5/1990,9Muses,South Korea,170,50,Busan,F,gyeongree,1990-07-05,32,1990
81,Hyemi,Pyo Hyemi,표혜미,혜미,4/3/1991,9Muses,South Korea,171,46,Gwangju,F,pyopyohyemi,1991-04-03,31,1991
82,Minha,Park Minha,박민하,민하,6/27/1991,,South Korea,172,47,Seoul,F,blossomh_,1991-06-27,31,1991
83,Sojin,Jo Sojin,조소진,소진,10/11/1991,9Muses,South Korea,170,47,Gwangju,F,josojin_1011,1991-10-11,31,1991
84,Keumjo,Lee Keumjo,이금조,금조,12/17/1992,9Muses,South Korea,167,48,Daegu,F,keumjo_1217,1992-12-17,30,1992
85,Sowon,Kim Sojung,김소정,소원,12/7/1995,Gfriend,South Korea,172,0,Seoul,F,,1995-12-07,27,1995
86,Yerin,Jung Yerin,정예린,예린,8/19/1996,Gfriend,South Korea,167,0,Incheon,F,,1996-08-19,26,1996
87,Eunha,Jung Eunbi,정은비,은하,5/30/1997,VIVIZ,South Korea,163,0,Seoul,F,,1997-05-30,25,1997
88,Yuju,Choi Yuna,최유나,유주,10/4/1997,Gfriend,South Korea,169,0,Goyang,F,,1997-10-04,25,1997
89,SinB,Hwang Eunbi,황은비,신비,6/3/1998,VIVIZ,South Korea,165,0,Cheongju,F,,1998-06-03,24,1998
90,Umji,Kim Yewon,김예원,엄지,8/19/1998,VIVIZ,South Korea,163,0,Incheon,F,,1998-08-19,24,1998
91,Victoria,Song Qian,송치엔,빅토리아,2/2/1987,f(x),China,168,45,Qingdao,F,victoria02_02,1987-02-02,35,1987
92,Amber,Amber Josephine Liu,엠버 조세핀 리우,엠버,9/18/1992,f(x),USA,167,0,Los Angeles,F,ajol_llama,1992-09-18,30,1992
93,Luna,Park Sunyoung,박선영,루나,8/12/1993,f(x),South Korea,162,0,Seoul,F,hermosavidaluna,1993-08-12,29,1993
94,Krystal,Krystal Jung,크리스탈 정,크리스탈,10/24/1994,f(x),South Korea,165,0,San Francisco,F,vousmevoyez,1994-10-24,28,1994
95,Irene,Bae Juhyun,배주현,아이린,3/29/1991,Red Velvet,South Korea,161,0,Daegu,F,,1991-03-29,31,1991
96,Seulgi,Kang Seulgi,강슬기,슬기,2/10/1994,Red Velvet,South Korea,162,0,Seoul,F,,1994-02-10,28,1994
97,Wendy,Son Seunghwan,손승완,웬디,2/21/1994,Red Velvet,South Korea,160,0,Seoul,F,,1994-02-21,28,1994
98,Joy,Park Sooyoung,박수영,조이,9/3/1996,Red Velvet,South Korea,163,0,Jeju,F,,1996-09-03,26,1996
99,Yeri,Kim Yerim,김예림,예리,3/5/1999,Red Velvet,South Korea,158,0,Seoul,F,,1999-03-05,23,1999
100,BoA,Kwon Boa,권보아,보아,11/5/1986,,South Korea,0,0,Guri,F,boakwon,1986-11-05,36,1986
101,Ailee,Lee Yejin,이예진,에일리,5/30/1989,,South Korea,165,0,Denver,F,aileeonline,1989-05-30,33,1989
102,G.NA,Gina Jane Choi,최지나,지나,9/13/1987,,Canada,167,0,Edmonton,F,missginachoi87,1987-09-13,35,1987
103,Taeha,Yoo Taeha,유태하,태하,10/5/1995,,South Korea,162,0,,F,,1995-10-05,27,1995
104,Seoyul,Seo Yuri,서유리,서율,11/26/1997,Berry Good,South Korea,163,0,,F,,1997-11-26,25,1997
105,Daye,Kim Hyunjung,김현정,다예,2/25/1998,Berry Good,South Korea,167,0,,F,,1998-02-25,24,1998
106,Sehyung,Kang Sehyung,강세형,세형,12/13/1998,Berry Good,South Korea,169,0,,F,,1998-12-13,24,1998
107,Gowoon,Moon Joojeong,문유정,고운,12/18/1998,Berry Good,South Korea,167,0,,F,,1998-12-18,24,1998
108,Hyangsuk,Lee Hyangsuk,이향숙,향숙,4/24/1991,2EYES,South Korea,165,0,Seoul,F,baby_sook,1991-04-24,31,1991
109,Daeun,Jung Daeun,정다은,정다은,6/3/1994,2EYES,South Korea,161,0,Bucheon,F,da.ni_jung,1994-06-03,28,1994
110,Dasom,Lee Dasom,이다솜,다솜,11/13/1993,2EYES,South Korea,164,0,Cheongju,F,,1993-11-13,29,1993
111,Hyerin,Kim Hyerin,김혜린,혜린,6/13/1993,2EYES,South Korea,170,0,Seoul,F,hyelyn0723,1993-06-13,29,1993
112,IU,Lee Jieun,이지은,아이유,5/16/1993,,South Korea,162,0,Seoul,F,dlwlrma,1993-05-16,29,1993
113,Jei,Kim Jinhee,김진희,재이,9/5/1989,Fiestar,South Korea,162,0,Bucheon,F,kimjeii,1989-09-05,33,1989
114,Cao Lu,Cao Lu,차오루,차오루,8/30/1987,Fiestar,China,166,0,Zhangjiajie,F,better_me_lulu,1987-08-30,35,1987
115,Linzy,Im Minji,임민지,린지,10/22/1989,Fiestar,South Korea,168,0,Incheon,F,linzy_minji,1989-10-22,33,1989
116,Hyemi,Kim Hyemi,김혜미,혜미,8/10/1990,Fiestar,South Korea,161,0,Seoul,F,hyemi_haaaaam,1990-08-10,32,1990
117,Yezi,Lee Yeji,이예지,예지,8/26/1994,Fiestar,South Korea,161,0,Gangneung,F,-,1994-08-26,28,1994
118,Hana,Shin Bora,신보라,하나,4/30/1993,Gugudan,South Korea,0,0,,F,,1993-04-30,29,1993
119,Mimi,Jung Mimi,정미미,미미,1/1/1993,Gugudan,South Korea,163,0,,F,,1993-01-01,29,1993
120,Haebin,Han Haebin,한해빈,해빈,8/16/1995,Gugudan,South Korea,0,0,,F,,1995-08-16,27,1995
121,Nayoung,Kim Nayoung,김나영,나영,11/23/1995,Gugudan,South Korea,169,50,,F,,1995-11-23,27,1995
122,Sejeong,Kim Sejeong,김세정,세정,8/28/1996,Gugudan,South Korea,164,48,,F,,1996-08-28,26,1996
123,Sally,Liu Xiening,류셰닝,샐리,10/23/1996,Gugudan,China,0,0,Guangdong,F,,1996-10-23,26,1996
124,Soyee,Jang Sojin,장소진,소이,11/21/1996,Gugudan,South Korea,0,0,,F,,1996-11-21,26,1996
125,Mina,Kang Mina,강미나,미나,12/4/1999,Gugudan,South Korea,162,48,Icheon,F,,1999-12-04,23,1999
126,Hyeyeon,Cho Hyeyeon,조혜연,혜연,8/5/2000,,South Korea,0,0,,F,,2000-08-05,22,2000
127,Hyojung,Choi Hyojung,최효정,효정,7/28/1994,Oh My Girl,South Korea,160,46,Yangyang,F,,1994-07-28,28,1994
128,JinE,Shin Hyejin,신혜진,진이,1/22/1995,,South Korea,160,48,Pohang,F,,1995-01-22,27,1995
129,Mimi,Kim Mihyun,김미현,미미,5/1/1995,Oh My Girl,South Korea,163,50,Jeju,F,,1995-05-01,27,1995
130,Yooa,Yoo Siah,유시아,유아,9/17/1995,Oh My Girl,South Korea,160,50,Seoul,F,,1995-09-17,27,1995
131,Seunghee,Hyun Seunghee,현승희,승희,1/25/1996,Oh My Girl,South Korea,160,48,Chuncheon,F,,1996-01-25,26,1996
132,Jiho,Kim Jiho,김지호,지호,4/4/1997,Oh My Girl,South Korea,165,49,Okcheon,F,,1997-04-04,25,1997
133,Yubin,Bae Yubin,배유빈,유빈,9/9/1997,Oh My Girl,South Korea,161,49,Chuncheon,F,,1997-09-09,25,1997
134,Arin,Choi Yewon,최예원,아린,6/18/1999,Oh My Girl,South Korea,163,47,Busan,F,,1999-06-18,23,1999
135,Babysoul,Lee Soojung,이수정,베이비소울,7/6/1992,Lovelyz,South Korea,158,41,Gwangju,F,,1992-07-06,30,1992
136,Jiae,Yoo Jiae,유지애,지애,5/21/1993,Lovelyz,South Korea,163,43,Seoul,F,,1993-05-21,29,1993
137,Jisoo,Seo Jisoo,서지수,지수,2/11/1994,Lovelyz,South Korea,165,46,Incheon,F,,1994-02-11,28,1994
138,Mijoo,Lee Mijoo,이미주,미주,9/23/1994,Lovelyz,South Korea,167,47,Okcheon,F,,1994-09-23,28,1994
139,Kei,Kim Jiyeon,김지연,케이,3/20/1995,Lovelyz,South Korea,162,47,Incheon,F,,1995-03-20,27,1995
140,JIN,Park Myungeun,박명은,진,6/12/1996,Lovelyz,South Korea,165,47,Busan,F,,1996-06-12,26,1996
141,Sujeong,Ryu Sujeong,류수정,수정,11/19/1997,Lovelyz,South Korea,168,48,Daejeon,F,,1997-11-19,25,1997
142,Yein,Jeong Yein,정예인,예인,6/4/1998,Lovelyz,South Korea,166,0,Incheon,F,,1998-06-04,24,1998
143,Yujeong,Kim Yujeong,김유정,유정,2/14/1992,,South Korea,161,42,Seoul,F,,1992-02-14,30,1992
144,Soyeon,Jung Soyeon,정소연,소연,5/4/1994,LABOUM,South Korea,161,44,Gwangju,F,,1994-05-04,28,1994
145,ZN,Bae Jinye,배진예,지엔,6/9/1994,LABOUM,South Korea,169,48,Bucheon,F,,1994-06-09,28,1994
146,Haein,Yeom Haein,염해인,해인,5/19/1995,LABOUM,South Korea,162,45,Ojeonggu,F,,1995-05-19,27,1995
147,Solbin,Ahn Solbin,안솔빈,솔빈,8/19/1997,LABOUM,South Korea,169,52,Ojeonggu,F,,1997-08-19,25,1997
148,Yulhee,Kim Yulhee,김율희,율희,11/27/1997,,South Korea,166,52,Bucheon,F,,1997-11-27,25,1997
149,Boram,Jeon Boram,전보람,보람,3/22/1986,,South Korea,155,45,Seoul,F,bo_ram_0322,1986-03-22,36,1986
150,Qri,Lee Jihyun,이지현,큐리,12/12/1986,T-ara,South Korea,162,44,Goyang,F,qtfreet,1986-12-12,36,1986
151,Soyeon,Park Soyeon,박소연,소연,10/5/1987,,South Korea,163,46,Andong,F,melodysoyani,1987-10-05,35,1987
152,Eunjung,Ham Eunjung,함은정,은정,12/12/1988,T-ara,South Korea,167,47,Seoul,F,sweetgirl_eunjung,1988-12-12,34,1988
153,Hyomin,Park Sunyoung,박선영,효민,5/30/1989,T-ara,South Korea,167,43,Busan,F,hyominnn,1989-05-30,33,1989
154,Jiyeon,Park Jiyeon,박지연,지연,6/7/1993,T-ara,South Korea,167,45,Seoul,F,jiyeon2__,1993-06-07,29,1993
155,Solar,Kim Yongsun,김용선,솔라,2/21/1991,Mamamoo,South Korea,163,43,Seoul,F,,1991-02-21,31,1991
156,Moonbyul,Moon Byulyi,문별이,문별,12/22/1992,Mamamoo,South Korea,165,45,Bucheon,F,,1992-12-22,30,1992
157,Wheein,Jung Wheein,정휘인,휘인,4/17/1995,Mamamoo,South Korea,162,43,Jeonju,F,,1995-04-17,27,1995
158,Hwasa,Ahn Hyejin,안혜진,화사,7/23/1995,Mamamoo,South Korea,162,44,Jeonju,F,,1995-07-23,27,1995
159,Yeoeun,Jung Jieun,정지은,여은,1/25/1990,MELODYDAY,South Korea,169,0,,F,yeosilver,1990-01-25,32,1990
160,Yein,Ahn Yein,안예인,예인,5/4/1995,MELODYDAY,South Korea,168,0,,F,yen_thankful954,1995-05-04,27,1995
161,Chahee,Park Sooyoung,박수영,차희,3/24/1996,MELODYDAY,South Korea,167,0,,F,hichaheebye,1996-03-24,26,1996
162,Yoomin,Na Yoomin,나유민,유민,8/29/1993,MELODYDAY,South Korea,165,0,,F,im.umin,1993-08-29,29,1993
163,Elkie,Chong Ting Yan,쫑딩얀,엘키,11/2/1998,,Hong Kong,163,45,Hong Kong,F,,1998-11-02,24,1998
164,Eunbin,Kwon Eunbin,권은빈,은빈,1/6/2000,CLC,South Korea,167,48,Seoul,F,,2000-01-06,22,2000
165,Jisoo,Kim Jisoo,김지수,지수,1/3/1995,BLACKPINK,South Korea,162,45,Seoul,F,,1995-01-03,27,1995
166,Jennie,Kim Jennie,김제니,제니,1/16/1996,BLACKPINK,South Korea,163,50,Anyang,F,,1996-01-16,26,1996
167,Rosé,Roseanne Park,로잔느 박,로제,2/11/1997,BLACKPINK,South Korea,167,0,Auckland,F,,1997-02-11,25,1997
168,Lisa,Pranpriya Manoban,쁘란쁘리야 마노반,리사,3/27/1997,BLACKPINK,Thailand,170,46,Bangkok,F,,1997-03-27,25,1997
169,Hyeji,Jeong Hyeji,정혜지,혜지,4/2/1992,4TEN,South Korea,0,0,Seoul,F,,1992-04-02,30,1992
170,Heeo,Gwak Heeoh,곽히오,히오,5/2/1994,4TEN,South Korea,0,0,,F,,1994-05-02,28,1994
171,Yoon,Heo Yoon,허윤,윤,9/23/1994,4TEN,South Korea,0,0,,F,,1994-09-23,28,1994
172,Hyejin,Baek Hyejin,백혜진,혜진,11/21/1996,4TEN,South Korea,0,0,Sacheon,F,,1996-11-21,26,1996
173,Uee,Kim Yujin,김유진,유이,4/9/1988,,South Korea,0,0,Daegu,F,,1988-04-09,34,1988
174,Raina,Oh Hyerin,오혜린,레이나,5/7/1989,After School,South Korea,0,0,Ulsan,F,raina_57,1989-05-07,33,1989
175,Nana,Im Jinah,임진아,나나,9/14/1991,After School,South Korea,0,0,Cheongju,F,jin_a_nana,1991-09-14,31,1991
176,Lizzy,Park Sooyoung,박수영,리지,7/31/1992,After School,South Korea,0,0,Busan,F,luvlyzzy,1992-07-31,30,1992
177,E-Young,Noh Yiyoung,노이영,이영,8/16/1992,After School,South Korea,0,0,Chuncheon,F,e_young0816,1992-08-16,30,1992
178,Kaeun,Lee Kaeun,이가은,가은,8/20/1994,After School,South Korea,0,0,Seoul,F,realkkaaanngg,1994-08-20,28,1994
179,Kahi,Park Jiyoung,박지영,가희,12/25/1980,,South Korea,0,0,Daegu,F,imisskahi,1980-12-25,42,1980
180,Jooyeon,Lee Jooyeon,이주연,주연,3/19/1987,,South Korea,0,0,Seoul,F,jupppal,1987-03-19,35,1987
181,Jungah,Kim Jungah,김정아,정아,8/2/1983,,South Korea,0,0,Incheon,F,i_am_jjunga,1983-08-02,39,1983
182,Soyoung,Yoo Soyoung,유소영,소영,3/29/1996,,South Korea,0,0,Seoul,F,ssossolovely,1996-03-29,26,1996
183,Bekah,Rebecca Kim,김레베카,베카,8/11/1989,,South Korea,0,0,Honolulu,F,,1989-08-11,33,1989
184,Chaewon,Kim Chaewon,김채원,채원,11/8/1997,APRIL,South Korea,0,0,Gongju,F,,1997-11-08,25,1997
185,Naeun,Lee Naeun,이나은,나은,5/5/1999,APRIL,South Korea,0,0,Daejeon,F,,1999-05-05,23,1999
186,Yena,Yang Yena,양예나,예나,5/22/2000,APRIL,South Korea,0,0,Daegu,F,,2000-05-22,22,2000
187,Jinsol,Lee Jinsol,이진솔,진솔,12/4/2001,APRIL,South Korea,0,0,Andong,F,,2001-12-04,21,2001
188,Hyunjoo,Lee Hyunjoo,이현주,현주,2/5/1998,UNI.T,South Korea,0,0,Seoul,F,,1998-02-05,24,1998
189,Monika,Kang Yeh,강예,모니카,5/21/1991,BADKIZ,South Korea,0,0,Seoul,F,maygirl_nika,1991-05-21,31,1991
190,LuA,Jo Hankyeung,조한경,루아,9/14/1991,BADKIZ,South Korea,0,0,Busan,F,,1991-09-14,31,1991
191,K.Me,Na Miri,나미리,케이미,4/10/1992,BADKIZ,South Korea,0,0,Yeosu,F,k.me93,1992-04-10,30,1992
192,Somin,Jang Somin,장소민,소민,11/10/1993,BADKIZ,South Korea,0,0,Gwangmyeon,F,somin.92,1993-11-10,29,1993
193,U-Si,Yoo Jiyeon,윤지연,유시,11/13/1997,BADKIZ,South Korea,0,0,Iksan,F,_u_si,1997-11-13,25,1997
194,Gabin,Kim Gabin,김가빈,가빈,9/18/1989,Blady,South Korea,0,0,Busan,F,_kimgabin,1989-09-18,33,1989
195,Dayoung,Kim Dayoung,김다영,다영,2/2/1991,Blady,South Korea,0,0,Jeonju,F,loloola22_,1991-02-02,31,1991
196,Giru,Park Giru,박기루,기루,8/14/1991,Blady,South Korea,0,0,Incheon,F,giru_p,1991-08-14,31,1991
197,Tina,Christine Joy Park,크리스틴 조이 박,티나,9/1/1994,Blady,USA,0,0,Los Angeles,F,nuhmootina,1994-09-01,28,1994
198,Yeeun,Hwang Yeeun,황예은,예은,1/12/1997,Blady,South Korea,0,0,Gimhae,F,yeeuneeeee_,1997-01-12,25,1997
199,Minyoung,Kim Minyeong,김민영,민영,9/12/1990,Brave Girls,South Korea,0,0,Seongnam,F,,1990-09-12,32,1990
200,Yujeong,Nam Yujeong,남유정,유정,5/2/1991,Brave Girls,South Korea,0,0,Seoul,F,,1991-05-02,31,1991
201,Eunji,Hong Eunji,홍은지,은지,7/19/1992,Brave Girls,South Korea,0,0,Seoul,F,,1992-07-19,30,1992
202,Yoojin,Jang Yoojin,정유진,유진,9/14/1992,,South Korea,0,0,,F,yoojinbabe,1992-09-14,30,1992
203,Yuna,Lee Yuna,이유나,유나,4/6/1993,Brave Girls,South Korea,0,0,Seoul,F,,1993-04-06,29,1993
204,Hyeran,Noh Hyeran,노혜란,혜란,4/9/1993,,South Korea,0,0,,F,hrannnoh,1993-04-09,29,1993
